Last Update,Total,Received,Awaiting Analysis,Undergoing Analysis,Modified,Rejected
2024-06-10,253246,14,13917,264,95429,14252
2024-06-16,254220,275,14308,265,95489,14277
2024-06-23,254953,36,15077,276,95519,14302
2024-06-30,255497,57,15488,236,95429,14308
2024-07-07,255966,41,15809,174,95510,14329
2024-07-14,256976,53,16476,255,95560,14335
2024-07-21,257604,105,16706,333,95473,14343
2024-07-28,258087,76,16777,481,95317,14344
2024-08-04,258909,51,17266,631,95512,14362
2024-08-11,259383,N/A,17307,679,95563,14366
